symbol,address,type,gauges,fees,bribes,algebra_pool
USDT/PLAY,0x6357f7a66e0a251e1b7acaa54cf754a14b54ed80,Volatile,0x55C83f2CF1Ef5EF83A1888F11A422DFb8766DAc8,0x27053c85801aEdaf976787FBdB3481f98a80A754,0x699aF45c58bCB18012acFf1dA555660EAfE08524,0
USDT/OOE,0x88db83b049e6996b7d599cd14665e2a875b61974,Wide,0x637bFC4c53b26F0ad287401B2477BF1af9cB7A00,0x30adA95e13a1Ea116d80c79D9aD94f5F22dE60Ce,0xda447227A7670020C621f82497e25710517AD589,0
JRT/BNB,0x4dbcf190cbdf69f3b013da6fbb911943237ab913,Volatile,0xbf9014DA4635427079F021E2A37d70e0Ce2280f7,0x3ee7FA9e0B90f7eDd63518A5E31878F672B76672,0x872B1CF7491cAb32434e0CBC045aD80375505048,0
AVAX/CHAM,0x6dc3c6efdeaf592c2d82add41d7d42e00097cf4f,Volatile,0x35De3850BeDb6f1545EdBbFa3B71ef715EbCFE7D,0x2E044Da1250df636F189bd44079cc1F7B3325cFf,0xb2b5dA6eD31A708d5ea25D8fE41c4a6d4dCa4302,0
ankrBNB/ankrMATIC,0x372e0fae9dcd0a0b3cf184072b5f2a17a2b53d92,Volatile,0x47E8C6929932f016A8372f5c26BD26676888Be35,0xf35c3D90735E13D598231E3c36B32d07Fff866f7,0xC95bA3308fe2C3ED383f427941CA8A3A17A7Fb32,0
CHAM/THE,0x761327ad8409da88bd5485487b8f64b9a5295dd4,Volatile,0xFeb05aaf9F7E709D3eCcB5D055966ea6a0be1eE3,0x27Ce6af1597e3d84d673689d0Ce8625B1343fFC3,0x7425CB0513bf057D157C9E9Ad69337C2d5334F8a,0
MAI/FRAX,0x49ad051f4263517bd7204f75123b7c11af9fd31c,Stable,0x2Ee5d2bAA34E86F4af9D727dF1FF6CeD2dDBdC40,0xC47B38400031B6808Abd61b1f4868AA86c5E0e8d,0x5c2c0E71FdaFF857A9E5eF20548D043bfCC72F1b,0
USDT/FRAX,0x8d65dbe7206a768c466073af0ab6d76f9e14fc6d,Stable,0xB34dFF23AB5B612Eb21Ffd8A151eFf452899f0f1,0x53FF9427c0022262E4b81868f0F249a2351d7014,0xDACD7870c8C0e96525c599DE8E47CD0e44D4DABA,0
ETH/XCAD,0xb1a0e5fee652348a206d935985ae1e8a9182a245,Wide,0x772aAE6a3BEfb989299A02e68AC598F9f2423Ee7,0x9A3e0C6F12ed45349b4f8E23e513d48CB33B19F7,0xC786a80Bb29d837662dD6266b3d39c0129c5B032,0
BNBx/THE,0xcd8a745f72f4aa0334f5dd1deaf2f19cd9bbc5be,Wide,0xAa0c2A8cC48651aA0adFCC1457752746B71587D4,0xc35D744d2f54Adc062f86F131BA29466828e3304,0x74cd6a8B28Ad21aA3A6e88d1e5513B6198F8950e,0
USDT/USDC,0x618f9eb0e1a698409621f4f487b563529f003643,Stable,0x6e1ae9480F393Aad98A034d382F86493963694c8,0x7521C09649C1470f93a41891b81f80bd66a7E1Ad,0x7208CF0255D9Ce40f0372e23Caf793e590702CE4,0
sfrxETH/frxETH,0xc2d245919db52ea4d5d269b0c710056639176ead,Stable,0x24EF4203cFe8b37688A74dfa6320Dc0758fe22E4,0x21F87734030e6f702fA11b82fCD24B8d9f550743,0xAd8779FEFD8E531449ddBdcbcfe658405F7ab768,0
FS/USDT,0x1f02f41906b4e1909166e542eda61ab2924c5a37,Volatile,0xC2D55F8209D3D8298B6D7d4345480dAc9A125bE0,0x9C996Bdb02EBF1a0A05BB3CeDFBc9f0c90504BFb,0xa4Fd40D6360D7Ca8D4aA332ae4Ba99344706ac09,0
liveTHE/THE,0x3765476bffe43cf4c0656bf3a7529c54ae247056,Stable,0xe2C96A636C64322d444C58dE20e599B3ce9c6116,0x615e9560ce07142542A209337F529780842F43b9,0x84088d7338ef6A0C2FDDF7A21c40eA5C3cE7Fed6,0
PNP/BNB,0x2eb01cba9bd6ef07fea4670998f096de8a83c4ff,Wide,0x56335D9015A1e5BF1CFCe29304F3A70CC2BA1d5e,0x726Bf3b83E5eC3f5942D960D2BA227AFa365C484,0x1045C74713831CCc7c4a128a8a7a641aC34f0dCE,0
lisUSD/ankrBNB,0xc6db38f34da75393e9aac841c08104348997d509,Volatile,0x967bF7CAE5766872D3d7a229202638cA01b35Fa9,0xEe68ef68070eC38d4683077923bCdAE69B3dcE8D,0xE572Dc2D166E6b78354FD1362f28e852ed0F4C08,0
TWT/BNB,0xc4a17162da872640c49cc191759f8b423539c7ea,Volatile,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0
dXCAD/BUSD,0x238a45c2c6531356ae60da6123340dd203d5336a,Volatile,0x8E1029F14bE595E5993486d8d21C51a6e534886C,0x4C7765EcBc5BFcf2cE86B4e9d406C14b158C9F8D,0x6230Ac5B3fA6bE068686dcFfCa0f4AC7e48b3bF5,0
DAO/THE,0x71eadcb77a5b3b7749e08f52c595761d821c4638,Volatile,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0
USDC/wUSDR(v3),0xf7369b1d005f2cbb1887233b5aa0cb0b39fb9891,Correlated,0x56019Fe949C29Ec8b895cFFAb3292564CD1C3e42,0x7D7Eb762Cd55547c5b0cd81eb85B766674C5589F,0x476a8b2b5A3Ce197939E35bf46b223fF748119Ae,0
USDC/BNB,0x4cd8a94975e275bd327431e2225f3afba73b56d7,Volatile,0xd04967Fa3F0cD0Ff746d83b14f91EC9ecfF77Edb,0x45cB2b4EE642d7Cd5B33Fc6F7355e058010f68de,0x3Dc840FC084F042888F724D42Ad84b1161D76030,0
MAI/BNB,0x16b32ffcec07c8177ae037c69d10234edcfb0a5c,Volatile,0xcF32695bB0a9719C05643d24f608C5E5B6313aC0,0xEB8FeEf646a2262113991CA8ec7ee2D2fe54630f,0xd788eA24772500eb2B9e1B35E51FdAE8C4C5894a,0
MULTI/BNB,0x075e794f631ee81df1aadb510ac6ec8803b0fa35,Volatile,0x7Ab3e3cF64657FD89fcb399796f0888206766601,0x57Db630a7bdF464F9Db0C6389692E0E600ea5A63,0xd7542f9Ba7B42e92B920cD989E7CEA97a1C7aE2F,0
FEAR/BNB,0x899845719b6fbd9c9e16a869ddfcdb0499edc01c,Volatile,0x87a3FB64dA67e1D7bcA0f097C33594709e9D52ff,0x0f655A2f0C58f2D83326f7B9d4e55A243de0780c,0x3Abf3D2d9918F7cd7ee43eD822B9c8698Fe2898F,0
PLAY/THE,0x5a797d22b27c13a98df8147acf95771f7b43ac66,Volatile,0x30C69104d4f305B7403F7Ae6e68a8ecd39884CdA,0xbBF2e43A7C61CA1E818D7abA0E398d2fDd47EdB5,0x4d332410AFddcc288F6cD62c96119a651F9C8bFE,0
ankrBNB/XVS,0x3d53ac3abec01827caae5bc934d46b171cea2206,Narrow,0xF446E006ebb3cb8fcF31429C393d8976270E30d2,0x701B7D94f512845C9578f1270d7d478624bcd276,0xe59dCe22EB2E170747dFE444898eec4C9295C47d,0
ankrMATIC/MATIC,0x138104c01d0c8fbeb5d6caa99a38a93e9a7868eb,Volatile,0x04a5F3ec27D607F28Ace826885818F4Ff581AE65,0x26D0a7cfe3035e7cb116D7653E1Cf78104aFa529,0xed5dCcFE0f1527254EBAC5D44576b76b5036Df70,0
